Date,Open,High,Low,Close,Volume
2011-10-14,7760.0,7840.0,7760.0,7800.0,68540
2011-10-17,7800.0,7800.0,7710.0,7800.0,48520
2011-10-18,7760.0,7760.0,7630.0,7630.0,57200
2011-10-19,7630.0,7670.0,7300.0,7340.0,243400
2011-10-20,7260.0,7340.0,7050.0,7300.0,232250
2011-10-21,7210.0,7550.0,7210.0,7510.0,148520
2011-10-24,7630.0,7710.0,7590.0,7590.0,62290
2011-10-25,7590.0,7590.0,7460.0,7550.0,83940
2011-10-26,7510.0,7670.0,7460.0,7670.0,77290
2011-10-27,7670.0,7670.0,7590.0,7670.0,37240
2011-10-28,7710.0,7920.0,7630.0,7800.0,95910
2011-10-31,7920.0,8010.0,7800.0,7800.0,64510
2011-11-01,7670.0,7670.0,7460.0,7590.0,64370
2011-11-02,7510.0,7510.0,7210.0,7380.0,110370
2011-11-03,7420.0,7460.0,7260.0,7460.0,70800
2011-11-04,7460.0,7590.0,7460.0,7460.0,73000
2011-11-07,7420.0,7510.0,7340.0,7510.0,80540
2011-11-08,7420.0,7550.0,7420.0,7510.0,58800
2011-11-09,7550.0,7590.0,7460.0,7460.0,75680
2011-11-10,7460.0,7510.0,7420.0,7460.0,62180
2011-11-11,7460.0,7510.0,7380.0,7460.0,88850
2011-11-14,7460.0,7510.0,7130.0,7130.0,174230
2011-11-15,6800.0,7260.0,6800.0,6800.0,333190
2011-11-16,6800.0,7050.0,6760.0,6880.0,618200
2011-11-17,6920.0,7010.0,6880.0,6960.0,209550
2011-11-18,7010.0,7010.0,6760.0,6840.0,119300
2011-11-21,6840.0,6880.0,6710.0,6760.0,138470
2011-11-22,6760.0,6880.0,6630.0,6840.0,87040
2011-11-23,6880.0,7010.0,6880.0,7010.0,118520
2011-11-24,7010.0,7090.0,6670.0,6670.0,170460
2011-11-25,6840.0,6840.0,6670.0,6840.0,85570
2011-11-28,6920.0,7010.0,6670.0,6880.0,109020
2011-11-29,6880.0,6960.0,6880.0,6960.0,50720
2011-11-30,6960.0,6960.0,6920.0,6960.0,81690
2011-12-01,6960.0,7050.0,6920.0,7050.0,39080
2011-12-02,7090.0,7300.0,7090.0,7300.0,49820
2011-12-05,7510.0,7630.0,7510.0,7630.0,65910
2011-12-06,7800.0,7840.0,7590.0,7630.0,202420
2011-12-07,7630.0,7630.0,7380.0,7590.0,55130
2011-12-08,7590.0,7590.0,7210.0,7210.0,104660
2011-12-09,7210.0,7300.0,6880.0,7090.0,84510
2011-12-12,6960.0,7170.0,6960.0,7170.0,24140
2011-12-13,7340.0,7510.0,7340.0,7510.0,95850
2011-12-14,7880.0,7880.0,7880.0,7880.0,62300
2011-12-15,8260.0,8260.0,8130.000000000001,8260.0,461180
2011-12-16,8590.0,8590.0,8090.0,8090.0,904050
2011-12-19,7840.0,7920.0,7800.0,7880.0,78790
2011-12-20,7710.0,8090.0,7710.0,7920.0,103960
2011-12-21,8300.0,8300.0,8300.0,8300.0,618460
2011-12-22,8300.0,8670.0,8300.0,8670.0,1184510
2011-12-23,8260.0,8510.0,8260.0,8420.0,74780
2011-12-26,8420.0,8510.0,8090.0,8340.0,205350
2011-12-27,8300.0,8340.0,8260.0,8260.0,76650
2011-12-28,8170.0,8420.0,8170.0,8340.0,156380
2011-12-29,8260.0,8260.0,8260.0,8260.0,55850
2011-12-30,8260.0,8340.0,8260.0,8300.0,76710
2012-01-03,8260.0,8420.0,8220.0,8220.0,39190
2012-01-04,8300.0,8340.0,8220.0,8260.0,38760
2012-01-05,8220.0,8220.0,7880.0,7880.0,15860
2012-01-06,7880.0,7880.0,7800.0,7840.0,22080
2012-01-09,7840.0,8220.0,7760.0,8220.0,14940
2012-01-10,8510.0,8510.0,8010.0,8220.0,21890
2012-01-11,8260.0,8260.0,7920.0,7960.0,18160
2012-01-12,8090.0,8130.000000000001,7920.0,7960.0,35220
2012-01-13,7920.0,8170.0,7920.0,8050.000000000001,63120
2012-01-16,7960.0,8050.000000000001,7840.0,7840.0,36040
2012-01-17,7760.0,8220.0,7760.0,8170.0,36590
2012-01-18,8340.0,8340.0,7840.0,8300.0,19050
2012-01-19,8260.0,8670.0,8260.0,8670.0,72240
2012-01-20,8760.0,8760.0,8590.0,8590.0,52370
2012-01-30,8590.0,9010.0,8590.0,9010.0,40070
2012-01-31,9170.0,9170.0,9010.0,9090.0,200100
2012-02-01,9090.0,9420.0,8920.0,9420.0,60760
2012-02-02,9420.0,9670.0,9170.0,9510.0,99860
2012-02-03,9670.0,9670.0,9510.0,9510.0,90510
2012-02-06,9590.0,9840.0,9510.0,9840.0,63650
2012-02-07,9840.0,10010.0,9590.0,9760.0,74480
2012-02-08,9670.0,9840.0,9590.0,9760.0,81410
2012-02-09,9840.0,9840.0,9760.0,9760.0,44630
2012-02-10,9670.0,9670.0,9510.0,9670.0,103570
2012-02-13,9510.0,9510.0,9260.0,9260.0,24220
2012-02-14,9090.0,9590.0,9090.0,9590.0,52090
2012-02-15,9340.0,9760.0,9340.0,9590.0,23410
2012-02-16,9760.0,9760.0,9420.0,9590.0,53320
2012-02-17,9340.0,9760.0,9340.0,9510.0,24790
2012-02-20,9590.0,9760.0,9170.0,9420.0,12450
2012-02-21,9670.0,9670.0,9340.0,9420.0,19080
2012-02-22,9420.0,9590.0,9260.0,9590.0,21970
2012-02-23,9510.0,9590.0,9420.0,9590.0,58220
2012-02-24,9670.0,9670.0,9340.0,9340.0,41550
2012-02-27,9340.0,9590.0,9170.0,9170.0,82920
2012-02-28,9170.0,9340.0,9090.0,9170.0,40460
2012-02-29,9170.0,9170.0,8760.0,8760.0,87450
2012-03-01,8510.0,8510.0,8340.0,8340.0,209560
2012-03-02,8510.0,8760.0,8510.0,8760.0,156970
2012-03-05,9170.0,9170.0,9170.0,9170.0,143510
2012-03-06,9590.0,9590.0,8920.0,8920.0,66240
2012-03-07,8920.0,9010.0,8590.0,8840.0,117880
2012-03-08,8670.0,9090.0,8670.0,8760.0,84220
2012-03-09,8760.0,9010.0,8760.0,9010.0,37970
2012-03-12,8590.0,9170.0,8590.0,8840.0,61400
2012-03-13,8670.0,8760.0,8420.0,8420.0,241710
2012-03-14,8760.0,8760.0,8260.0,8760.0,44600
2012-03-15,8510.0,8760.0,8340.0,8340.0,230330
2012-03-16,8670.0,8670.0,8090.0,8170.0,240330
2012-03-19,8170.0,8170.0,7920.0,8170.0,150700
2012-03-20,8170.0,8510.0,8170.0,8340.0,130940
2012-03-21,8420.0,8420.0,8260.0,8340.0,144040
2012-03-22,8220.0,8420.0,8220.0,8340.0,123360
2012-03-23,8340.0,8590.0,8340.0,8590.0,153050
2012-03-26,8760.0,8920.0,8510.0,8920.0,219500
2012-03-27,8920.0,8920.0,8510.0,8510.0,773110
2012-03-28,8090.0,8170.0,8090.0,8090.0,593350
2012-03-29,8300.0,8300.0,7840.0,7880.0,258600
2012-03-30,8010.0,8010.0,7840.0,8010.0,196260
2012-04-03,8010.0,8010.0,7920.0,8010.0,148470
2012-04-04,8010.0,8010.0,7760.0,7760.0,248100
2012-04-05,7760.0,7880.0,7630.0,7760.0,256960
2012-04-06,7840.0,7880.0,7760.0,7840.0,93370
2012-04-09,7920.0,7920.0,7670.0,7760.0,234310
2012-04-10,7760.0,7760.0,7670.0,7670.0,359080
2012-04-11,7670.0,7880.0,7630.0,7880.0,263240
2012-04-12,7960.0,8090.0,7880.0,7960.0,282800
2012-04-13,7960.0,8170.0,7920.0,7920.0,220290
2012-04-16,8010.0,8220.0,7960.0,8130.000000000001,178680
2012-04-17,8130.000000000001,8300.0,8050.000000000001,8260.0,213830
2012-04-18,8340.0,8590.0,8260.0,8300.0,156310
2012-04-19,8300.0,8340.0,8130.000000000001,8260.0,190740
2012-04-20,8340.0,8340.0,8130.000000000001,8220.0,250770
2012-04-23,8130.000000000001,8260.0,8130.000000000001,8260.0,156350
2012-04-24,8170.0,8260.0,8130.000000000001,8260.0,160260
2012-04-25,8260.0,8260.0,8170.0,8260.0,233260
2012-04-26,8340.0,8420.0,8300.0,8340.0,98120
