Date,Open,High,Low,Close,Volume
2011-11-02,5940.0,5940.0,5850.0,5850.0,126140
2011-11-03,5850.0,5870.0,5760.0,5780.0,219470
2011-11-04,5910.0,5910.0,5760.0,5760.0,163410
2011-11-07,5690.0,5760.0,5600.0,5600.0,163040
2011-11-08,5670.0,5670.0,5480.0,5530.0,425600
2011-11-09,5530.0,5530.0,5330.0,5390.0,326580
2011-11-10,5390.0,5390.0,5330.0,5330.0,343650
2011-11-11,5280.0,5390.0,5170.0,5280.0,168960
2011-11-14,5230.0,5230.0,5120.0,5210.0,317800
2011-11-15,5210.0,5260.0,5140.0,5210.0,633710
2011-11-16,5210.0,5420.0,5210.0,5420.0,354790
2011-11-17,5530.0,5530.0,5440.0,5510.0,389870
2011-11-18,5530.0,5530.0,5390.0,5480.0,389990
2011-11-21,5420.0,5480.0,5350.0,5350.0,200780
2011-11-22,5390.0,5420.0,5350.0,5390.0,219760
2011-11-23,5390.0,5440.0,5350.0,5420.0,228040
2011-11-24,5440.0,5480.0,5420.0,5420.0,255870
2011-11-25,5350.0,5420.0,5350.0,5350.0,121930
2011-11-28,5330.0,5440.0,5260.0,5260.0,216050
2011-11-29,5260.0,5330.0,5120.0,5140.0,403950
2011-11-30,5170.0,5210.0,5030.0,5030.0,286220
2011-12-01,5100.0,5120.0,4990.0,5030.0,328810
2011-12-02,5050.0,5100.0,5010.0,5100.0,342300
2011-12-05,5100.0,5170.0,5100.0,5140.0,325960
2011-12-06,5120.0,5140.0,5030.0,5030.0,405030
2011-12-07,5050.0,5050.0,4990.0,4990.0,144630
2011-12-08,4990.0,5010.0,4850.0,4850.0,503030
2011-12-09,4870.0,4870.0,4760.0,4780.0,252610
2011-12-12,4740.0,4780.0,4650.0,4670.0,347980
2011-12-13,4670.0,4690.0,4620.0,4670.0,328070
2011-12-14,4650.0,4670.0,4580.0,4580.0,342600
2011-12-15,4580.0,4580.0,4490.0,4530.0,660180
2011-12-16,4560.0,4760.0,4560.0,4760.0,622510
2011-12-19,4760.0,4990.0,4760.0,4990.0,875290
2011-12-20,4990.0,5010.0,4830.0,4830.0,248770
2011-12-21,4830.0,4940.0,4830.0,4920.0,204380
2011-12-22,4690.0,4920.0,4690.0,4690.0,436670
2011-12-23,4530.0,4650.0,4510.0,4620.0,418480
2011-12-26,4620.0,4650.0,4460.0,4460.0,343200
2011-12-27,4460.0,4490.0,4400.0,4400.0,428840
2011-12-28,4400.0,4600.0,4400.0,4600.0,230060
2011-12-29,4670.0,4760.0,4530.0,4760.0,341420
2011-12-30,4760.0,4940.0,4650.0,4940.0,488620
2012-01-03,4890.0,4890.0,4710.0,4710.0,206450
2012-01-04,4620.0,4620.0,4560.0,4600.0,177420
2012-01-05,4530.0,4620.0,4530.0,4580.0,165210
